,Coach,Appearance,0
0,,,Carlo Ancelotti
1,,,191
2,,,Sir Alex Ferguson
3,,,190
4,,,Arsène Wenger
5,,,178
6,,,Josep Guardiola
7,,,159
8,,,José Mourinho
9,,,145
10,,,Mircea Lucescu
11,,,115
12,,,Jürgen Klopp
13,,,100
14,,,Massimiliano Allegri
15,,,100
16,,,Louis van Gaal
17,,,95
18,,,Ottmar Hitzfeld
19,,,95
20,,,Rafael Benítez
21,,,95
22,,,Diego Simeone
23,,,93
24,,,Fabio Capello
25,,,78
26,,,Marcello Lippi
27,,,76
28,,,Ronald Koeman
29,,,68
30,,,Luciano Spalletti
31,,,67
32,,,Manuel Pellegrini
33,,,66
34,,,Roberto Mancini
35,,,61
36,,,Vicente del Bosque
37,,,60
38,,,Javier Iruretagoyena Amiano
39,,,58
40,,,Oleg Romantsev
41,,,56
42,,,Thomas Tuchel
43,,,55
44,,,Fatih Terim
45,,,53
46,,,Zinédine Zidane
47,,,53
48,,,Héctor Cúper
49,,,52
50,,,Unai Emery
51,,,52
